TravelDate,DayOFWeek,TubeJourneyCount,BusJourneyCount
20200101,Wednesday,1831000,2191000
20200102,Thursday,3245000,4356000
20200103,Friday,3395000,4680000
20200104,Saturday,2489000,4104000
20200105,Sunday,1702000,2973000
20200106,Monday,3663000,5365000
20200107,Tuesday,3837000,5708000
20200108,Wednesday,3953000,5801000
20200109,Thursday,4087000,5823000
20200110,Friday,4115000,6042000
20200111,Saturday,2750000,4433000
20200112,Sunday,1810000,3172000
20200113,Monday,4026000,5898000
20200114,Tuesday,4265000,5946000
20200115,Wednesday,4324000,6023000
20200116,Thursday,4375000,6051000
20200117,Friday,4384000,6135000
20200118,Saturday,3191000,4548000
20200119,Sunday,2078000,3229000
20200120,Monday,4121000,5936000
20200121,Tuesday,4377000,6032000
20200122,Wednesday,4436000,5987000
20200123,Thursday,4492000,6023000
20200124,Friday,4463000,6119000
20200125,Saturday,3235000,4579000
20200126,Sunday,2073000,3223000
20200127,Monday,4086000,5874000
20200128,Tuesday,4344000,6111000
20200129,Wednesday,4420000,6129000
20200130,Thursday,4408000,7271000
20200131,Friday,4469000,6257000
20200201,Saturday,3062000,4668000
20200202,Sunday,1980000,3263000
20200203,Monday,4052000,5934000
20200204,Tuesday,4303000,6070000
20200205,Wednesday,4391000,6106000
20200206,Thursday,4440000,6147000
20200207,Friday,4410000,6225000
20200208,Saturday,3033000,4764000
20200209,Sunday,1547000,2664000
20200210,Monday,4062000,5932000
20200211,Tuesday,4324000,6092000
20200212,Wednesday,4383000,6088000
20200213,Thursday,4400000,6044000
20200214,Friday,4361000,6190000
20200215,Saturday,2640000,4185000
20200216,Sunday,1791000,2929000
20200217,Monday,4121000,5275000
20200218,Tuesday,4287000,5307000
20200219,Wednesday,4357000,5255000
20200220,Thursday,4382000,5166000
20200221,Friday,4308000,5430000
20200222,Saturday,2827000,4563000
20200223,Sunday,1860000,3248000
20200224,Monday,3956000,5761000
20200225,Tuesday,4286000,6089000
20200226,Wednesday,4348000,6096000
20200227,Thursday,4441000,5975000
20200228,Friday,4338000,6019000
20200229,Saturday,3001000,4423000
20200301,Sunday,2101000,3302000
20200302,Monday,3899000,5952000
20200303,Tuesday,4128000,6054000
20200304,Wednesday,4168000,6028000
20200305,Thursday,4180000,5826000
20200306,Friday,4150000,6173000
20200307,Saturday,2948000,4450000
20200308,Sunday,1907000,3116000
20200309,Monday,3733000,5853000
20200310,Tuesday,3764000,5859000
20200311,Wednesday,3732000,5808000
20200312,Thursday,3578000,5697000
20200313,Friday,3177000,5533000
20200314,Saturday,1906000,3879000
20200315,Sunday,1159000,2553000
20200316,Monday,2411000,4820000
20200317,Tuesday,1831000,4336000
20200318,Wednesday,1484000,3917000
20200319,Thursday,1252000,3631000
20200320,Friday,1035000,3292000
20200321,Saturday,431000,1905000
20200322,Sunday,242000,1132000
20200323,Monday,596000,1911000
20200324,Tuesday,385000,1362000
20200325,Wednesday,286000,1180000
20200326,Thursday,256000,1121000
20200327,Friday,246000,1148000
20200328,Saturday,124000,828000
20200329,Sunday,84000,536000
20200330,Monday,211000,1022000
20200331,Tuesday,208000,1029000
20200401,Wednesday,205000,995000
20200402,Thursday,200000,981000
20200403,Friday,204000,1042000
20200404,Saturday,111000,788000
20200405,Sunday,81000,552000
20200406,Monday,197000,986000
20200407,Tuesday,193000,971000
20200408,Wednesday,190000,965000
20200409,Thursday,192000,996000
20200410,Friday,111000,730000
20200411,Saturday,98000,734000
20200412,Sunday,65000,440000
20200413,Monday,93000,618000
20200414,Tuesday,195000,982000
20200415,Wednesday,196000,961000
20200416,Thursday,195000,960000
20200417,Friday,198000,991000
20200418,Saturday,110000,738000
20200419,Sunday,80000,387000
20200420,Monday,195000,34000
20200421,Tuesday,197000,21000
20200422,Wednesday,197000,16000
20200423,Thursday,197000,13000
20200424,Friday,199000,12000
20200425,Saturday,109000,8000
20200426,Sunday,77000,5000
20200427,Monday,202000,9000
20200428,Tuesday,201000,7000
20200429,Wednesday,206000,7000
20200430,Thursday,207000,7000
20200501,Friday,211000,6000
20200502,Saturday,118000,5000
20200503,Sunday,79000,3000
20200504,Monday,217000,6000
20200505,Tuesday,220000,5000
20200506,Wednesday,223000,5000
20200507,Thursday,227000,5000
20200508,Friday,132000,3000
20200509,Saturday,121000,4000
20200510,Sunday,84000,2000
20200511,Monday,233000,4000
20200512,Tuesday,238000,4000
20200513,Wednesday,241000,4000
20200514,Thursday,246000,4000
20200515,Friday,255000,4000
20200516,Saturday,151000,3000
20200517,Sunday,108000,2000
20200518,Monday,288000,4000
20200519,Tuesday,295000,4000
20200520,Wednesday,305000,4000
20200521,Thursday,302000,4000
20200522,Friday,314000,5000
20200523,Saturday,177000,37000
20200524,Sunday,132000,29000
20200525,Monday,179000,38000
20200526,Tuesday,332000,59000
20200527,Wednesday,339000,61000
20200528,Thursday,350000,63000
20200529,Friday,363000,68000
20200530,Saturday,248000,372000
20200531,Sunday,179000,272000
20200601,Monday,396000,482000
20200602,Tuesday,412000,485000
20200603,Wednesday,429000,468000
20200604,Thursday,410000,471000
20200605,Friday,428000,494000
20200606,Saturday,296000,828000
20200607,Sunday,220000,623000
20200608,Monday,439000,1092000
20200609,Tuesday,468000,1137000
20200610,Wednesday,456000,1080000
20200611,Thursday,467000,1106000
20200612,Friday,490000,1176000
20200613,Saturday,365000,1234000
20200614,Sunday,238000,867000
20200615,Monday,569000,1596000
20200616,Tuesday,563000,1591000
20200617,Wednesday,561000,1555000
20200618,Thursday,566000,1555000
20200619,Friday,609000,1719000
20200620,Saturday,482000,1631000
20200621,Sunday,294000,1106000
20200622,Monday,619000,1919000
20200623,Tuesday,643000,1925000
20200624,Wednesday,653000,1924000
20200625,Thursday,663000,1956000
20200626,Friday,670000,2036000
20200627,Saturday,479000,1673000
20200628,Sunday,357000,1217000
20200629,Monday,664000,2050000
20200630,Tuesday,674000,2046000
20200701,Wednesday,709000,2097000
20200702,Thursday,709000,2089000
20200703,Friday,771000,2242000
20200704,Saturday,633000,1955000
20200705,Sunday,464000,1475000
20200706,Monday,778000,2275000
20200707,Tuesday,806000,2304000
20200708,Wednesday,805000,2240000
20200709,Thursday,822000,2287000
20200710,Friday,905000,2468000
20200711,Saturday,754000,2215000
20200712,Sunday,524000,1593000
